source,ourDatabase,databaseLabel
hollywoodlife.com,TRUE,Fake
radaronline.com,TRUE,Fake
newidea.com.au,TRUE,Fake
yournewswire.com,TRUE,Fake
madworldnews.com,TRUE,Fake
thecommonsenseshow.com,TRUE,Fake
disclose.tv,TRUE,Fake
pakalertpress.com,TRUE,Fake
collective-evolution.com,TRUE,Fake
fellowshipoftheminds.com,TRUE,Fake
govtslaves.info,TRUE,Fake
investmentwatchblog.com,TRUE,Fake
jewsnews.co.il,TRUE,Fake
occupydemocrats.com,TRUE,Fake
twitchy.com,TRUE,Fake
worldtruth.tv,TRUE,Fake
abovetopsecret.com,TRUE,Fake
activistpost.com,TRUE,Fake
amren.com,TRUE,Fake
amtvmedia.com,TRUE,Fake
awdnews.com,TRUE,Fake
barenakedislam.com,TRUE,Fake
blacklistednews.com,TRUE,Fake
conservativetribune.com,TRUE,Fake
counterpunch.org,TRUE,Fake
davidstockmanscontracorner.com,TRUE,Fake
dcclothesline.com,TRUE,Fake
elmundotoday.com,TRUE,Fake
eutimes.net,TRUE,Fake
fromthetrenchesworldreport.com,TRUE,Fake
frontpagemag.com,TRUE,Fake
greanvillepost.com,TRUE,Fake
humansarefree.com,TRUE,Fake
ifyouonlynews.com,TRUE,Fake
ihavethetruth.com,TRUE,Fake
lewrockwell.com,TRUE,Fake
liberalamerica.org,TRUE,Fake
libertyunyielding.com,TRUE,Fake
nakedcapitalism.com,TRUE,Fake
naturalblaze.com,TRUE,Fake
pravdareport.com,TRUE,Fake
presstv.ir,TRUE,Fake
returnofkings.com,TRUE,Fake
rinf.com,TRUE,Fake
shtfplan.com,TRUE,Fake
silverdoctors.com,TRUE,Fake
thedailysheeple.com,TRUE,Fake
theeventchronicle.com,TRUE,Fake
thefederalistpapers.org,TRUE,Fake
thenewamerican.com,TRUE,Fake
thepoke.co.uk,TRUE,Fake
thesleuthjournal.com,TRUE,Fake
topinfopost.com,TRUE,Fake
trueactivist.com,TRUE,Fake
trunews.com,TRUE,Fake
truthdig.com,TRUE,Fake
truthfeed.com,TRUE,Fake
